"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"TS89AA","OK",FALSE,12.6,11.6,30,TRUE,14
"TS89AB","OK",FALSE,22.5,20,30,TRUE,31
"TS89AF","OK",FALSE,30,20,30,TRUE,11
"TS89AG","OK",FALSE,28.8,20,30,TRUE,17
"TS89AH","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"TS89AH","No Data",NA,NA,NA,NA,TRUE,0
"TS89AJ","OK",FALSE,23.7,19.8,30,TRUE,16
"TS89AN","OK",FALSE,20.1,19.5,30,TRUE,10
"TS89AP","OK",TRUE,14.9,15,30,TRUE,7
"TS89AQ","Insufficient Data",NA,NA,NA,NA,TRUE,1
"TS89AR","OK",FALSE,21.4,20.8,30,TRUE,6
"TS89AS","OK",FALSE,26.5,20,30,TRUE,5
"TS89AT","OK",FALSE,22.4,14.4,30,TRUE,7
"TS89AU","OK",FALSE,19.2,20.5,24.4,TRUE,6
"TS89AW","OK",FALSE,21.9,18.7,30,TRUE,12
"TS89AX","OK",FALSE,21.8,19.9,30,TRUE,4
"TS89AY","OK",FALSE,15.1,18,21.7,TRUE,5
"TS89AZ","OK",FALSE,22.3,20,30,TRUE,7
"TS89BA","OK",FALSE,24.1,22.2,30,TRUE,3
"TS89BB","OK",FALSE,30,20.9,30,TRUE,21
"TS89BD","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"TS89BD","No Data",NA,NA,NA,NA,TRUE,0
"TS89BE","OK",FALSE,21.3,20,30,TRUE,13
"TS89BG","OK",FALSE,30,20,30,TRUE,12
"TS89BH","OK",FALSE,27.3,20.7,30,TRUE,6
"TS89BJ","OK",FALSE,15.9,18,30,TRUE,5
"TS89BL","OK",FALSE,22.8,20,30,TRUE,12
"TS89BN","OK",FALSE,21.7,18.8,30,TRUE,10
"TS89BP","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"TS89BP","No Data",NA,NA,NA,NA,TRUE,0
"TS89BQ","OK",FALSE,20.9,16.4,30,TRUE,10
"TS89BS","OK",FALSE,18.4,18.9,30,TRUE,12
"TS89BT","OK",FALSE,10.9,11.2,16.4,TRUE,4
"TS89BU","OK",FALSE,26,20,30,TRUE,19
"TS89BW","OK",FALSE,15.9,16.1,21,TRUE,5
"TS89BX","OK",FALSE,22.8,18.4,30,TRUE,9
"TS89BY","OK",FALSE,21.9,19.6,30,TRUE,33
"TS89BZ","OK",FALSE,10.2,7.7,16.2,TRUE,3
"TS89DA","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"TS89DA","No Data",NA,NA,NA,NA,TRUE,0
"TS89DB","OK",TRUE,11,9.5,19.6,TRUE,9
"TS89DE","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"TS89DE","No Data",NA,NA,NA,NA,TRUE,0
"TS89DF","OK",TRUE,5,4.6,9,TRUE,4
"TS89DG","OK",FALSE,22.5,16.4,30,TRUE,13
"TS89DH","OK",FALSE,15.5,15,30,TRUE,8
"TS89DJ","OK",FALSE,28.2,20,30,TRUE,35
"TS89DL","OK",FALSE,23.1,20,30,TRUE,49
"TS89DN","OK",FALSE,19.5,13.8,30,TRUE,41
"TS89DQ","OK",FALSE,20.9,20,30,TRUE,15
"TS89DR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TS89DR","No Data",NA,NA,NA,NA,FALSE,0
"TS89DS","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"TS89DS","No Data",NA,NA,NA,NA,TRUE,0
"TS89DW","OK",TRUE,3.5,3.3,6.8,TRUE,6
"TS89DX","OK",TRUE,2.4,2.7,3.9,TRUE,8
"TS89DY","Insufficient Data",NA,NA,NA,NA,FALSE,1
"TS89DZ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"TS89DZ","No Data",NA,NA,NA,NA,TRUE,0
"TS89EA","No premises",NA,NA,NA,NA,FALSE,0
"TS89EB","OK",TRUE,2,2,3.5,TRUE,3
"TS89ED","Insufficient Data",NA,NA,NA,NA,TRUE,2
"TS89EE","Insufficient Data",NA,NA,NA,NA,TRUE,2
"TS89EF","OK",FALSE,27.6,30,30,TRUE,7
"TS89EG","OK",FALSE,20,12.6,30,TRUE,24
"TS89EH","No premises",NA,NA,NA,NA,TRUE,0
"TS89EJ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"TS89EJ","No Data",NA,NA,NA,NA,TRUE,0
"TS89EL","OK",TRUE,21.9,9.8,30,TRUE,29
"TS89EN","OK",TRUE,20.6,11.5,30,TRUE,16
