"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"W25JE","OK",FALSE,16.1,17.1,20.5,TRUE,17
"W25JF","OK",TRUE,14.6,16.4,20,FALSE,21
"W25JG","OK",FALSE,12.7,11.9,19.5,FALSE,13
"W25JH","OK",FALSE,14.3,14.4,20,TRUE,6
"W25JJ","OK",FALSE,21.6,18.5,30,TRUE,15
"W25JL","OK",FALSE,22.8,18,30,TRUE,27
"W25JN","OK",FALSE,13.3,14,16.7,FALSE,9
"W25JP","OK",FALSE,13.8,15.1,20.7,FALSE,26
"W25JR","OK",FALSE,14.4,14.4,20.7,FALSE,16
"W25JS","OK",FALSE,15.5,16.1,20,FALSE,16
"W25JT","OK",TRUE,12.4,13.6,19.9,FALSE,21
"W25JU","OK",FALSE,13.5,14.8,18.5,FALSE,8
"W25JW","OK",FALSE,13.6,15.2,19.9,FALSE,17
