"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"W39SA","OK",FALSE,30,23.6,30,TRUE,5
"W39SB","OK",FALSE,21.3,20.4,30,TRUE,4
"W39SD","OK",FALSE,16.1,17.1,21,TRUE,13
"W39SE","OK",TRUE,28.1,20,30,TRUE,19
"W39SF","OK",FALSE,29.8,19.3,30,TRUE,19
"W39SG","OK",FALSE,30,30,30,TRUE,14
"W39SH","OK",TRUE,19.6,13.5,30,TRUE,8
"W39SJ","OK",FALSE,18.1,16.7,30,TRUE,14
"W39SL","OK",TRUE,27.4,20,30,TRUE,18
"W39SN","OK",TRUE,15,14.6,30,TRUE,16
"W39SP","OK",TRUE,26,17.7,30,TRUE,20
"W39SQ","OK",FALSE,29.3,20.8,30,TRUE,10
"W39SR","OK",FALSE,25.9,13.3,30,TRUE,6
"W39SS","OK",FALSE,26.2,19.7,30,TRUE,19
"W39ST","OK",FALSE,30,20,30,TRUE,7
"W39SW","OK",FALSE,17.9,19.2,30,TRUE,11
"W39SZ","OK",FALSE,16.1,8.1,30,TRUE,5
