"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"W86PA","OK",TRUE,21.3,18,30,TRUE,22
"W86PB","OK",FALSE,11.6,11.4,18.4,TRUE,14
"W86PD","OK",FALSE,30,17.4,30,TRUE,6
"W86PE","OK",TRUE,18.9,11.5,30,TRUE,13
"W86PF","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W86PF","No Data",NA,NA,NA,NA,TRUE,0
"W86PG","OK",FALSE,20.2,17.8,30,TRUE,7
"W86PH","OK",TRUE,14.4,5.7,30,TRUE,37
"W86PJ","OK",TRUE,13.1,6.2,30,TRUE,24
"W86PL","OK",FALSE,19.9,7.4,30,TRUE,17
"W86PP","OK",TRUE,20.3,14.8,30,TRUE,19
"W86PQ","OK",TRUE,11.5,15,18,FALSE,10
"W86PR","OK",TRUE,24.3,17.3,30,TRUE,19
"W86PT","OK",FALSE,26.1,17.7,30,TRUE,12
"W86PU","OK",FALSE,30,15,30,TRUE,15
"W86PW","No premises",NA,NA,NA,NA,TRUE,0
"W86PX","OK",FALSE,13.3,13.1,19.7,FALSE,16
