"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"WD37AL","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WD37AL","No Data",NA,NA,NA,NA,TRUE,0
"WD37AN","OK",FALSE,30,30,30,TRUE,18
"WD37AP","OK",FALSE,30,20,30,TRUE,8
"WD37AR","OK",FALSE,17.4,15.3,30,TRUE,3
"WD37AT","OK",FALSE,25,20,30,TRUE,11
"WD37AU","OK",FALSE,18.9,16.6,30,TRUE,6
"WD37AW","OK",FALSE,30,30,30,TRUE,16
"WD37AX","OK",FALSE,30,30,30,TRUE,5
"WD37AY","OK",FALSE,30,20,30,TRUE,21
"WD37AZ","OK",FALSE,30,30,30,TRUE,6
"WD37BA","OK",FALSE,25.3,15.8,30,TRUE,8
"WD37BB","OK",FALSE,30,18.6,30,TRUE,14
"WD37BD","OK",FALSE,27.1,20,30,TRUE,13
"WD37BE","OK",FALSE,14.4,12,30,TRUE,8
"WD37BF","No premises",NA,NA,NA,NA,FALSE,0
"WD37BG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WD37BG","No Data",NA,NA,NA,NA,TRUE,0
"WD37BQ","OK",FALSE,16.3,16.5,30,TRUE,8
"WD37BT","OK",FALSE,30,30,30,TRUE,17
"WD37BU","OK",FALSE,30,21.1,30,TRUE,10
"WD37BX","OK",FALSE,27.1,19.9,30,TRUE,18
"WD37BY","OK",FALSE,30,30,30,TRUE,3
"WD37BZ","OK",FALSE,30,30,30,TRUE,4
"WD37DA","OK",FALSE,30,30,30,TRUE,10
"WD37DB","OK",TRUE,17,18,30,TRUE,7
"WD37DD","OK",FALSE,30,20,30,TRUE,40
"WD37DE","OK",FALSE,27.7,20,30,TRUE,17
"WD37DF","OK",FALSE,30,20.1,30,TRUE,23
"WD37DG","OK",FALSE,25.3,25.7,30,TRUE,4
"WD37DH","OK",FALSE,27.5,20,30,TRUE,21
"WD37DJ","OK",FALSE,25.1,20,30,TRUE,3
"WD37DN","OK",TRUE,27,16,30,TRUE,11
"WD37DQ","OK",FALSE,30,21.9,30,TRUE,15
"WD37DW","OK",TRUE,28.9,20,30,TRUE,24
"WD37DY","OK",FALSE,26,22.5,30,TRUE,10
"WD37DZ","OK",FALSE,14.9,16.4,20,TRUE,5
"WD37EE","OK",FALSE,30,30,30,TRUE,6
"WD37EG","OK",FALSE,30,30,30,TRUE,7
"WD37EH","OK",TRUE,20.5,13.7,30,TRUE,29
"WD37EJ","OK",FALSE,30,20,30,TRUE,15
"WD37EL","OK",FALSE,24.3,20,30,TRUE,21
"WD37EN","OK",FALSE,20.2,16.7,30,TRUE,31
"WD37EP","OK",FALSE,29.2,20,30,TRUE,6
"WD37EQ","OK",FALSE,26.3,19.6,30,TRUE,18
"WD37ER","OK",FALSE,30,30,30,TRUE,9
"WD37ES","OK",FALSE,21.3,11.8,30,TRUE,16
"WD37ET","OK",FALSE,21.2,17.4,30,TRUE,12
"WD37EU","OK",FALSE,26.4,30,30,TRUE,16
"WD37EW","OK",FALSE,29.6,25.9,30,TRUE,27
"WD37EX","OK",FALSE,28,25,30,TRUE,12
"WD37EY","OK",FALSE,30,30,30,TRUE,13
"WD37EZ","OK",FALSE,13.6,7.2,30,TRUE,5
"WD37FN","OK",FALSE,18.5,16.3,30,TRUE,8
"WD37GF","OK",FALSE,16.2,14.2,30,TRUE,6
"WD37GQ","No premises",NA,NA,NA,NA,FALSE,0
"WD37HA","OK",TRUE,25.6,13.6,30,TRUE,17
"WD37HB","OK",TRUE,30,25,30,TRUE,26
"WD37HG","OK",FALSE,24.2,24.2,30,TRUE,3
"WD37HH","OK",FALSE,23.4,20,30,TRUE,7
"WD37HJ","OK",FALSE,20.7,20,30,TRUE,7
"WD37HL","OK",FALSE,17.9,8.6,30,TRUE,20
"WD37HN","OK",FALSE,30,17.4,30,TRUE,14
"WD37HP","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WD37HP","No Data",NA,NA,NA,NA,TRUE,0
"WD37HQ","OK",FALSE,30,22,30,TRUE,6
"WD37HU","OK",FALSE,30,30,30,TRUE,5
"WD37HW","OK",FALSE,30,30,30,TRUE,11
"WD37NG","OK",FALSE,23.1,15.9,30,TRUE,6
"WD37NH","OK",FALSE,30,30,30,TRUE,9
"WD37NJ","OK",FALSE,30,20,30,TRUE,9
"WD37NL","OK",FALSE,30,30,30,TRUE,17
"WD37NN","OK",FALSE,30,25,30,TRUE,12
"WD37NP","OK",FALSE,22.1,12.5,30,TRUE,11
"WD37NQ","OK",FALSE,28.9,20,30,TRUE,14
"WD37NR","OK",FALSE,24.3,20,30,TRUE,8
"WD37NS","OK",FALSE,23.4,19.2,30,TRUE,5
"WD37NT","OK",FALSE,19,12.1,30,TRUE,4
"WD37NU","OK",FALSE,18.6,9.6,30,TRUE,25
"WD37NW","OK",FALSE,30,20,30,TRUE,7
"WD37NX","OK",FALSE,30,20,30,TRUE,7
"WD37NY","OK",FALSE,30,25.7,30,TRUE,29
"WD37NZ","OK",TRUE,30,24,30,TRUE,26
"WD37PA","OK",TRUE,9.5,13.1,14.2,TRUE,5
"WD37PB","OK",FALSE,30,20,30,TRUE,16
"WD37PD","OK",FALSE,29.1,20,30,TRUE,18
"WD37PE","OK",TRUE,20.5,17.2,30,TRUE,11
"WD37PF","OK",FALSE,13.1,12,20,TRUE,9
"WD37PG","OK",FALSE,24.3,20,30,TRUE,7
"WD37PH","OK",TRUE,27.1,9.9,30,TRUE,21
"WD37PJ","OK",TRUE,22.5,15.6,30,TRUE,30
"WD37PL","OK",FALSE,21.9,20,30,TRUE,20
"WD37PN","OK",FALSE,30,20,30,TRUE,13
"WD37PP","OK",TRUE,26.4,20,30,TRUE,30
"WD37PQ","OK",FALSE,30,22.7,30,TRUE,8
"WD37PR","OK",FALSE,24.1,19.7,30,TRUE,36
"WD37SX","Insufficient Data",NA,NA,NA,NA,TRUE,2
"WD37WA","No premises",NA,NA,NA,NA,FALSE,0
"WD37WX","OK",FALSE,18.3,12.1,30,TRUE,4
"WD37YW","No premises",NA,NA,NA,NA,FALSE,0
"WD37ZW","No premises",NA,NA,NA,NA,FALSE,0
