"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"WF77AA","OK",TRUE,9.6,3.7,30,TRUE,13
"WF77AB","OK",TRUE,16.2,3.6,30,TRUE,15
"WF77AD","OK",TRUE,8.3,4.4,30,TRUE,8
"WF77AE","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WF77AE","No Data",NA,NA,NA,NA,TRUE,0
"WF77AF","OK",TRUE,9.5,2.8,30,TRUE,11
"WF77AH","OK",TRUE,14.4,3.6,30,TRUE,14
"WF77AJ","OK",TRUE,6.8,3.3,30,TRUE,10
"WF77AL","OK",TRUE,2,2,3.1,TRUE,15
"WF77AN","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WF77AN","No Data",NA,NA,NA,NA,TRUE,0
"WF77AP","OK",TRUE,6.2,2.1,30,TRUE,9
"WF77AQ","OK",TRUE,14,2.8,30,TRUE,11
"WF77AR","OK",TRUE,13.7,2.3,30,TRUE,7
"WF77AS","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WF77AS","No Data",NA,NA,NA,NA,TRUE,0
"WF77AT","OK",TRUE,6.2,2,30,TRUE,9
"WF77AU","OK",TRUE,6.5,2.6,30,TRUE,9
"WF77AW","OK",TRUE,17.6,2.6,30,TRUE,11
"WF77AX","Insufficient Data",NA,NA,NA,NA,TRUE,2
"WF77AY","OK",TRUE,11.2,3.3,30,TRUE,9
"WF77AZ","OK",TRUE,16.2,2.1,30,TRUE,12
"WF77BA","OK",TRUE,1.6,1.2,3,TRUE,8
"WF77BB","OK",TRUE,8.9,2.1,30,TRUE,11
"WF77BD","OK",TRUE,9.1,2.6,30,TRUE,8
"WF77BE","Insufficient Data",NA,NA,NA,NA,TRUE,2
"WF77BG","OK",TRUE,7.3,2,30,TRUE,14
"WF77BH","OK",TRUE,27.8,2.7,30,TRUE,3
"WF77BJ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WF77BJ","No Data",NA,NA,NA,NA,TRUE,0
"WF77BL","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WF77BL","No Data",NA,NA,NA,NA,TRUE,0
"WF77BN","OK",TRUE,3.3,3.4,4.6,TRUE,9
"WF77BP","OK",TRUE,2,2.1,3.6,FALSE,44
"WF77BQ","Insufficient Data",NA,NA,NA,NA,TRUE,2
"WF77BS","OK",TRUE,3.1,2.7,4.9,TRUE,4
"WF77BT","OK",TRUE,1.9,2,3.3,FALSE,14
"WF77BU","OK",TRUE,3.3,3.3,5,TRUE,7
"WF77BX","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WF77BX","No Data",NA,NA,NA,NA,TRUE,0
"WF77BY","OK",TRUE,5.9,3.6,30,TRUE,41
"WF77BZ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WF77BZ","No Data",NA,NA,NA,NA,TRUE,0
"WF77DA","OK",FALSE,10.9,4.1,30,TRUE,10
"WF77DB","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WF77DB","No Data",NA,NA,NA,NA,TRUE,0
"WF77DD","OK",TRUE,8.5,4.1,30,TRUE,15
"WF77DE","OK",TRUE,14,3.7,30,TRUE,11
"WF77DF","OK",TRUE,12.5,4.1,30,TRUE,18
"WF77DG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WF77DG","No Data",NA,NA,NA,NA,TRUE,0
"WF77DH","OK",TRUE,17.9,4.1,30,TRUE,23
"WF77DJ","OK",TRUE,5.6,4.1,30,TRUE,24
"WF77DL","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WF77DL","No Data",NA,NA,NA,NA,TRUE,0
"WF77DN","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WF77DN","No Data",NA,NA,NA,NA,TRUE,0
"WF77DP","Insufficient Data",NA,NA,NA,NA,TRUE,2
"WF77DQ","OK",TRUE,3.2,3.8,4.7,TRUE,4
"WF77DR","OK",TRUE,1.9,2,2.3,FALSE,5
"WF77DS","OK",TRUE,12.3,4,30,TRUE,46
"WF77DT","Insufficient Premises",NA,NA,NA,NA,TRUE,1
