"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"WN58AA","OK",FALSE,18.1,19.2,30,TRUE,9
"WN58AB","OK",FALSE,30,30,30,TRUE,11
"WN58AD","No Data",NA,NA,NA,NA,TRUE,0
"WN58AE","OK",FALSE,27.1,22.2,30,TRUE,10
"WN58AF","OK",FALSE,26.3,21.5,30,TRUE,22
"WN58AG","OK",FALSE,24.5,20.2,30,TRUE,24
"WN58AH","No premises",NA,NA,NA,NA,FALSE,0
"WN58AL","OK",FALSE,24.1,20,30,TRUE,13
"WN58AN","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WN58AN","No Data",NA,NA,NA,NA,TRUE,0
"WN58AQ","OK",FALSE,12.8,11.6,20.3,TRUE,6
"WN58AR","Insufficient Data",NA,NA,NA,NA,FALSE,2
"WN58AS","No premises",NA,NA,NA,NA,TRUE,0
"WN58AT","OK",TRUE,12.4,12.7,20.1,TRUE,10
"WN58AU","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WN58AU","No Data",NA,NA,NA,NA,TRUE,0
"WN58AW","OK",FALSE,20.6,21.9,30,TRUE,6
"WN58AX","OK",FALSE,14.7,15.3,21.8,TRUE,6
"WN58AY","OK",FALSE,20.2,21.6,30,TRUE,8
"WN58BA","No premises",NA,NA,NA,NA,FALSE,0
"WN58BB","OK",FALSE,20.2,18.5,30,TRUE,17
"WN58BD","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WN58BD","No Data",NA,NA,NA,NA,TRUE,0
"WN58BE","OK",FALSE,18.9,19.3,24.4,TRUE,8
"WN58BF","OK",FALSE,20.4,21.2,22.8,FALSE,10
"WN58BG","OK",FALSE,23.7,21,30,TRUE,22
"WN58BH","OK",FALSE,26,20.9,30,TRUE,23
"WN58BJ","OK",FALSE,29.3,20,30,TRUE,17
"WN58BL","OK",FALSE,30,30,30,TRUE,8
"WN58BN","OK",FALSE,26.6,20.6,30,TRUE,18
"WN58BP","OK",FALSE,29.1,21.5,30,TRUE,16
"WN58BQ","OK",FALSE,28.8,25.9,30,TRUE,13
"WN58BS","OK",FALSE,26.8,19.6,30,TRUE,18
"WN58BT","OK",FALSE,19.6,20,30,TRUE,13
"WN58BU","OK",FALSE,17.7,18.4,22.2,TRUE,16
"WN58BW","Insufficient Data",NA,NA,NA,NA,TRUE,1
"WN58BX","OK",FALSE,24.9,21.3,30,TRUE,11
"WN58BY","OK",FALSE,21.6,20,30,TRUE,11
"WN58BZ","OK",FALSE,30,30,30,TRUE,5
"WN58DA","Insufficient Data",NA,NA,NA,NA,TRUE,2
"WN58DB","OK",FALSE,11.2,11.2,14.3,FALSE,3
"WN58DD","OK",TRUE,25.6,21,30,TRUE,32
"WN58DE","OK",FALSE,16.3,16.6,17.9,FALSE,6
"WN58DF","OK",FALSE,23.4,20,30,TRUE,27
"WN58DG","OK",FALSE,30,20.8,30,TRUE,14
"WN58DH","OK",FALSE,23.9,21,30,TRUE,18
"WN58DJ","OK",FALSE,28.4,22.4,30,TRUE,35
"WN58DL","OK",FALSE,26.5,20.2,30,TRUE,18
"WN58DN","OK",FALSE,23.4,23.4,30,TRUE,3
"WN58DP","OK",FALSE,18.9,19,30,TRUE,11
"WN58DQ","OK",FALSE,22.2,22.7,23.5,TRUE,5
"WN58DR","OK",FALSE,22,22.1,30,TRUE,5
"WN58DS","No Data",NA,NA,NA,NA,FALSE,0
"WN58DT","OK",FALSE,20.3,20.2,22.7,FALSE,8
"WN58DW","OK",FALSE,22.1,20,30,TRUE,20
"WN58DX","OK",FALSE,19.8,20.3,30,TRUE,15
"WN58DY","OK",FALSE,25.3,21.6,30,TRUE,15
"WN58DZ","OK",FALSE,28,22.4,30,TRUE,10
"WN58EA","OK",FALSE,13.1,13.9,21,TRUE,6
"WN58EB","No premises",NA,NA,NA,NA,TRUE,0
"WN58ED","OK",FALSE,13.4,14.6,19.3,FALSE,27
"WN58EG","OK",FALSE,12.8,15.1,22.2,TRUE,6
"WN58ES","Insufficient Data",NA,NA,NA,NA,TRUE,1
"WN58ET","OK",FALSE,28.1,22.5,30,TRUE,28
"WN58EU","Insufficient Data",NA,NA,NA,NA,TRUE,2
"WN58EW","No premises",NA,NA,NA,NA,TRUE,0
"WN58EX","Insufficient Data",NA,NA,NA,NA,TRUE,1
"WN58EY","OK",TRUE,27.8,14.8,30,TRUE,13
"WN58EZ","OK",FALSE,30,25,30,TRUE,16
"WN58FN","No premises",NA,NA,NA,NA,FALSE,0
"WN58FQ","No premises",NA,NA,NA,NA,FALSE,0
"WN58HB","OK",FALSE,30,30,30,TRUE,14
"WN58HD","OK",FALSE,16.6,10.7,30,TRUE,12
"WN58HE","Insufficient Data",NA,NA,NA,NA,TRUE,1
"WN58HG","Insufficient Data",NA,NA,NA,NA,TRUE,2
"WN58HH","OK",FALSE,18.1,8.6,30,TRUE,6
"WN58HJ","OK",FALSE,26.2,13.6,30,TRUE,11
"WN58HL","OK",FALSE,10.4,9.7,13.8,FALSE,5
"WN58HN","OK",FALSE,19.7,16.3,30,TRUE,11
"WN58HP","OK",FALSE,16.3,12.2,30,TRUE,17
"WN58HQ","OK",FALSE,11.8,8.2,30,TRUE,24
"WN58HR","OK",FALSE,20.6,17.4,30,TRUE,15
"WN58HS","OK",FALSE,14.4,16.8,20,TRUE,11
"WN58HT","OK",FALSE,16,15,30,TRUE,13
"WN58HU","OK",FALSE,21.4,18.8,30,TRUE,14
"WN58HW","OK",FALSE,18.6,12.4,30,TRUE,20
"WN58HX","OK",TRUE,25.6,18.7,30,TRUE,20
"WN58HY","OK",FALSE,23.2,19.8,30,TRUE,16
"WN58HZ","OK",FALSE,20.1,20,30,TRUE,4
"WN58JA","OK",TRUE,24,15.3,30,TRUE,13
"WN58JB","OK",FALSE,27.9,19.1,30,TRUE,38
"WN58JD","OK",FALSE,28.3,16.5,30,TRUE,7
"WN58JE","OK",TRUE,17.9,13.9,30,TRUE,24
"WN58JF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"WN58JF","No Data",NA,NA,NA,NA,FALSE,0
"WN58JG","OK",FALSE,26.3,18.8,30,TRUE,15
"WN58JH","Insufficient Data",NA,NA,NA,NA,FALSE,2
"WN58JL","OK",FALSE,12.1,12.8,16.2,FALSE,10
"WN58JN","OK",FALSE,19,20,20,TRUE,4
"WN58JP","OK",FALSE,20.3,19.7,23.1,TRUE,3
"WN58JQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"WN58JQ","No Data",NA,NA,NA,NA,FALSE,0
"WN58JR","OK",TRUE,17.1,18.9,30,TRUE,4
"WN58JS","Insufficient Data",NA,NA,NA,NA,TRUE,2
"WN58JT","OK",TRUE,24.1,18,30,TRUE,13
"WN58JU","OK",TRUE,21.9,16.4,30,TRUE,16
"WN58JW","OK",FALSE,14,14.5,16.1,TRUE,5
"WN58JX","OK",FALSE,27.8,19.1,30,TRUE,4
"WN58JY","OK",FALSE,28.7,21.2,30,TRUE,9
"WN58JZ","OK",FALSE,24,20.4,30,TRUE,8
"WN58LB","OK",FALSE,20.4,14.4,30,TRUE,11
"WN58LP","OK",FALSE,30,20,30,TRUE,15
"WN58LR","OK",FALSE,19.7,12.6,30,TRUE,29
"WN58LS","OK",FALSE,11.6,9.5,30,TRUE,14
"WN58LT","OK",FALSE,30,11.6,30,TRUE,12
"WN58LU","OK",TRUE,20.1,10.2,30,TRUE,33
"WN58LX","OK",FALSE,20.5,10.9,30,TRUE,23
"WN58LY","OK",FALSE,17.6,15.9,30,TRUE,8
"WN58LZ","No premises",NA,NA,NA,NA,TRUE,0
"WN58NA","OK",FALSE,17.8,11.8,30,TRUE,17
"WN58NB","OK",TRUE,21.5,8.9,30,TRUE,8
"WN58ND","OK",FALSE,27.2,20,30,TRUE,11
"WN58NE","OK",FALSE,28.6,25,30,TRUE,24
"WN58NF","OK",TRUE,20.9,20,30,TRUE,38
"WN58NG","OK",FALSE,21.2,20,30,TRUE,22
"WN58NH","OK",TRUE,16.6,11.1,30,TRUE,25
"WN58NJ","OK",FALSE,30,11.7,30,TRUE,15
"WN58NL","OK",TRUE,27.4,20,30,TRUE,39
"WN58NP","OK",TRUE,21.6,10.4,30,TRUE,35
"WN58NQ","OK",FALSE,27.8,20,30,TRUE,18
"WN58NR","OK",FALSE,15.5,20,30,TRUE,5
"WN58NS","OK",TRUE,22.3,20,30,TRUE,9
"WN58NT","Insufficient Data",NA,NA,NA,NA,TRUE,2
"WN58NU","No premises",NA,NA,NA,NA,TRUE,0
"WN58NX","OK",FALSE,30,30,30,TRUE,4
"WN58NY","OK",FALSE,30,9.9,30,TRUE,17
"WN58NZ","OK",FALSE,19.4,20,30,TRUE,30
"WN58PA","OK",FALSE,24.7,20,30,TRUE,13
"WN58PB","OK",TRUE,14.9,8.3,30,TRUE,11
"WN58PD","OK",TRUE,18.5,7,30,TRUE,7
"WN58PE","OK",FALSE,6.8,7.5,9.6,TRUE,7
"WN58PF","OK",FALSE,27.4,20,30,TRUE,10
"WN58PG","OK",TRUE,23.2,20,30,TRUE,17
"WN58PH","OK",FALSE,8.9,4.8,20,TRUE,10
"WN58PJ","OK",FALSE,22.4,20,30,TRUE,16
"WN58PL","OK",TRUE,17.2,5,30,TRUE,23
"WN58PN","OK",FALSE,17.1,8.2,30,TRUE,37
"WN58PP","OK",FALSE,6.4,5.3,10,TRUE,7
"WN58PQ","OK",TRUE,20,20,30,TRUE,39
"WN58PR","OK",TRUE,18.8,14.5,30,TRUE,14
"WN58PS","OK",FALSE,19.1,20,30,TRUE,6
"WN58PT","OK",FALSE,8.3,8.3,10.2,TRUE,3
"WN58PU","Insufficient Data",NA,NA,NA,NA,TRUE,1
"WN58PW","OK",FALSE,21,8.3,30,TRUE,5
"WN58PX","OK",FALSE,30,30,30,TRUE,3
"WN58PY","OK",FALSE,5.9,5.8,8.8,TRUE,16
"WN58PZ","OK",FALSE,30,30,30,TRUE,4
"WN58QA","OK",TRUE,4.5,3.9,7.9,FALSE,7
"WN58QB","OK",TRUE,25,20,30,TRUE,48
"WN58QD","OK",TRUE,24.9,20,30,TRUE,33
"WN58QE","OK",TRUE,4.6,4.7,16.6,TRUE,31
"WN58QF","Insufficient Data",NA,NA,NA,NA,TRUE,2
"WN58QG","OK",TRUE,6,7.6,8.2,FALSE,13
"WN58QH","OK",FALSE,26.3,20,30,TRUE,41
"WN58QJ","OK",FALSE,24,20,30,TRUE,35
"WN58QL","No premises",NA,NA,NA,NA,TRUE,0
"WN58QU","OK",TRUE,30,20,30,TRUE,23
"WN58QX","OK",FALSE,13.8,10.8,30,TRUE,13
"WN58QY","OK",FALSE,22.9,13.6,30,TRUE,19
"WN58QZ","OK",FALSE,24.8,20,30,TRUE,50
"WN58RA","OK",FALSE,16.8,16.4,30,TRUE,15
"WN58RB","No Data",NA,NA,NA,NA,TRUE,0
"WN58RD","No premises",NA,NA,NA,NA,TRUE,0
"WN58RF","OK",FALSE,15.8,12.3,30,TRUE,13
"WN58RG","OK",TRUE,14,11.2,30,TRUE,55
"WN58RH","OK",FALSE,25.1,20,30,TRUE,51
"WN58RJ","OK",FALSE,21.5,18.4,30,TRUE,36
"WN58RL","OK",FALSE,16.2,12.5,30,TRUE,22
"WN58RN","OK",FALSE,24.4,19,30,TRUE,30
"WN58RP","OK",FALSE,19.6,10,30,TRUE,8
"WN58RQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"WN58RQ","No Data",NA,NA,NA,NA,FALSE,0
"WN58RR","OK",TRUE,21.6,8.1,30,TRUE,30
"WN58RS","OK",FALSE,19.7,13.8,30,TRUE,15
"WN58RT","Insufficient Data",NA,NA,NA,NA,TRUE,2
"WN58RU","OK",FALSE,24.3,30,30,TRUE,5
"WN58RW","OK",FALSE,18.6,20,30,TRUE,22
"WN58RX","OK",FALSE,5.7,6.2,6.9,TRUE,7
"WN58RY","OK",TRUE,21.3,8.1,30,TRUE,45
"WN58RZ","OK",FALSE,23.6,15.9,30,TRUE,15
"WN58SA","OK",FALSE,23.1,7.8,30,TRUE,16
"WN58SB","OK",TRUE,15.6,12.4,30,TRUE,66
"WN58SD","OK",FALSE,14.5,11.9,30,TRUE,27
"WN58SE","OK",FALSE,11.3,10.6,13.7,TRUE,5
"WN58SF","OK",FALSE,13.6,12.2,30,TRUE,34
"WN58SG","OK",TRUE,11.7,7.6,30,TRUE,7
"WN58SH","OK",FALSE,27.9,20,30,TRUE,30
"WN58SJ","OK",FALSE,24.3,19.4,30,TRUE,27
"WN58SL","OK",FALSE,10.6,10,16.3,TRUE,9
"WN58SN","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WN58SN","No Data",NA,NA,NA,NA,TRUE,0
"WN58SP","OK",TRUE,15,12,30,TRUE,30
"WN58SQ","OK",FALSE,9.4,10,14.3,TRUE,8
"WN58SR","OK",FALSE,20.5,14.9,30,TRUE,8
"WN58SS","OK",FALSE,18.9,19.5,30,TRUE,13
"WN58ST","OK",FALSE,22.2,17.6,30,TRUE,12
"WN58SU","OK",FALSE,28,17,30,TRUE,15
"WN58SW","OK",TRUE,19,12,30,TRUE,11
"WN58SX","OK",FALSE,30,30,30,TRUE,9
"WN58SY","OK",FALSE,21.7,18,30,TRUE,22
"WN58SZ","OK",FALSE,24.1,13.9,30,TRUE,6
"WN58TA","OK",FALSE,30,30,30,TRUE,12
"WN58TB","OK",FALSE,18.4,13.4,30,TRUE,8
"WN58TD","OK",FALSE,26.1,25,30,TRUE,10
"WN58TE","OK",FALSE,15,11.3,30,TRUE,39
"WN58TF","OK",FALSE,15,15.1,30,TRUE,5
"WN58TG","OK",FALSE,30,30,30,TRUE,27
"WN58TH","OK",TRUE,27.2,20,30,TRUE,24
"WN58TJ","OK",FALSE,29.5,20,30,TRUE,16
"WN58TL","OK",FALSE,14.4,10.8,30,TRUE,23
"WN58TN","OK",FALSE,13.9,8.1,30,TRUE,5
"WN58TP","OK",TRUE,21.4,16.3,30,TRUE,49
"WN58TQ","OK",FALSE,24.6,20,30,TRUE,40
"WN58TR","OK",FALSE,20.7,16.4,30,TRUE,28
"WN58TS","OK",FALSE,28.1,17.4,30,TRUE,6
"WN58TT","OK",FALSE,17.6,17,30,TRUE,13
"WN58TU","OK",FALSE,25.5,20,30,TRUE,11
"WN58TW","OK",FALSE,13.8,11.9,20,TRUE,7
"WN58TX","OK",FALSE,22.3,12.3,30,TRUE,6
"WN58TY","OK",FALSE,24.2,19.4,30,TRUE,10
"WN58TZ","OK",FALSE,20.7,20,30,TRUE,23
"WN58UA","OK",FALSE,21.4,16.6,30,TRUE,4
"WN58UB","OK",FALSE,20.8,18.4,30,TRUE,17
"WN58UD","OK",FALSE,22.1,16.1,30,TRUE,16
