"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"WS12AA","OK",FALSE,15.8,14.3,20.8,FALSE,4
"WS12AB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"WS12AB","No Data",NA,NA,NA,NA,FALSE,0
"WS12AD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"WS12AD","No Data",NA,NA,NA,NA,FALSE,0
"WS12AE","OK",FALSE,18.2,19.2,23.7,TRUE,12
"WS12AF","OK",TRUE,22.5,19.2,30,TRUE,16
"WS12AG","Insufficient Data",NA,NA,NA,NA,TRUE,2
"WS12AJ","Insufficient Data",NA,NA,NA,NA,TRUE,1
"WS12AL","OK",FALSE,22.5,22.9,24.4,FALSE,10
"WS12AN","No premises",NA,NA,NA,NA,TRUE,0
"WS12AP","No Data",NA,NA,NA,NA,TRUE,0
"WS12AR","OK",FALSE,30,21,30,TRUE,19
"WS12AS","OK",FALSE,23.1,20,30,TRUE,14
"WS12AT","OK",FALSE,30,21.8,30,TRUE,12
"WS12AU","Insufficient Data",NA,NA,NA,NA,TRUE,2
"WS12AX","OK",FALSE,22.7,20,30,TRUE,22
"WS12AY","OK",FALSE,19.7,20,30,TRUE,25
"WS12AZ","OK",FALSE,28.1,21.9,30,TRUE,17
"WS12BA","OK",FALSE,30,26.5,30,TRUE,20
"WS12BB","OK",FALSE,24.1,20,30,TRUE,19
"WS12BD","OK",FALSE,30,20.6,30,TRUE,22
"WS12BE","OK",FALSE,27.1,20.4,30,TRUE,32
"WS12BG","OK",FALSE,27.9,18,30,TRUE,7
"WS12BH","OK",FALSE,28.2,20.4,30,TRUE,14
"WS12BJ","OK",FALSE,26,20.1,30,TRUE,10
"WS12BL","OK",FALSE,9.6,7.7,16,TRUE,5
"WS12BQ","OK",FALSE,27.9,30,30,TRUE,9
"WS12BS","OK",FALSE,21.6,19.5,30,TRUE,6
"WS12BT","No premises",NA,NA,NA,NA,FALSE,0
"WS12BU","OK",FALSE,15.8,19.5,22.9,TRUE,5
"WS12BW","OK",FALSE,16.6,12.8,30,TRUE,6
"WS12BX","OK",FALSE,17,15.4,30,TRUE,13
"WS12BY","Insufficient Data",NA,NA,NA,NA,TRUE,2
"WS12BZ","OK",TRUE,14.2,10.4,30,TRUE,15
"WS12DA","OK",TRUE,17.4,13.1,30,TRUE,33
"WS12DB","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WS12DB","No Data",NA,NA,NA,NA,TRUE,0
"WS12DD","OK",FALSE,21.8,9.1,30,TRUE,22
"WS12DE","Insufficient Data",NA,NA,NA,NA,TRUE,2
"WS12DF","OK",FALSE,13.6,13,17.6,TRUE,3
"WS12DG","OK",FALSE,27.5,15,30,TRUE,28
"WS12DH","OK",FALSE,29.9,20,30,TRUE,21
"WS12DJ","OK",FALSE,21.2,18.1,30,TRUE,10
"WS12DL","OK",TRUE,17.4,14.6,30,TRUE,32
"WS12DN","OK",FALSE,19.1,12.3,30,TRUE,35
"WS12DP","OK",FALSE,19.7,13.9,30,TRUE,31
"WS12DQ","OK",FALSE,28.8,14,30,TRUE,14
"WS12DR","OK",TRUE,12.4,12.4,30,TRUE,19
"WS12DS","OK",FALSE,11.7,13.3,16.1,TRUE,7
"WS12DT","OK",FALSE,15,14.8,20.9,TRUE,9
"WS12DU","No premises",NA,NA,NA,NA,TRUE,0
"WS12DW","OK",TRUE,25.9,20,30,TRUE,15
"WS12DX","OK",TRUE,16,13.3,30,TRUE,27
"WS12DY","OK",FALSE,24.2,17.4,30,TRUE,26
"WS12DZ","OK",FALSE,21.5,21,22.5,TRUE,3
"WS12EA","OK",FALSE,24,20,30,TRUE,13
"WS12EB","No premises",NA,NA,NA,NA,TRUE,0
"WS12EE","OK",FALSE,30,30,30,TRUE,4
"WS12EF","No premises",NA,NA,NA,NA,FALSE,0
"WS12EG","Insufficient Data",NA,NA,NA,NA,FALSE,1
"WS12EH","Insufficient Data",NA,NA,NA,NA,FALSE,1
"WS12EJ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WS12EJ","No Data",NA,NA,NA,NA,TRUE,0
"WS12EL","No premises",NA,NA,NA,NA,TRUE,0
"WS12EN","OK",FALSE,30,19.5,30,TRUE,5
"WS12EP","Insufficient Data",NA,NA,NA,NA,TRUE,2
"WS12EQ","OK",FALSE,18.4,17.8,23.1,TRUE,3
"WS12ER","No premises",NA,NA,NA,NA,TRUE,0
"WS12EU","OK",TRUE,23,19.7,30,TRUE,12
"WS12EW","OK",FALSE,19.7,20,30,TRUE,7
"WS12EY","OK",FALSE,11.8,9,20.2,TRUE,3
"WS12HA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"WS12HA","No Data",NA,NA,NA,NA,FALSE,0
"WS12HB","No Data",NA,NA,NA,NA,TRUE,0
"WS12HE","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WS12HE","No Data",NA,NA,NA,NA,TRUE,0
"WS12HG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WS12HG","No Data",NA,NA,NA,NA,TRUE,0
"WS12HH","OK",FALSE,16.1,18.5,22,TRUE,11
"WS12HL","OK",FALSE,19.8,19.4,30,TRUE,25
"WS12HN","OK",TRUE,26.7,21.6,30,TRUE,14
"WS12HP","OK",FALSE,21,20.7,30,TRUE,18
"WS12HQ","Insufficient Data",NA,NA,NA,NA,TRUE,1
"WS12HR","OK",FALSE,30,20.3,30,TRUE,7
"WS12HS","OK",FALSE,20.1,18.9,30,TRUE,26
"WS12HT","OK",FALSE,23.3,19.1,30,TRUE,31
"WS12HU","OK",TRUE,21.7,17.8,30,TRUE,24
"WS12HW","OK",FALSE,17.8,18.9,21.7,TRUE,15
"WS12HX","OK",FALSE,25.8,18.2,30,TRUE,10
"WS12HZ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WS12HZ","No Data",NA,NA,NA,NA,TRUE,0
"WS12JA","OK",FALSE,30,20,30,TRUE,19
"WS12JG","No premises",NA,NA,NA,NA,TRUE,0
"WS12JJ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
