"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"WV100AB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"WV100AB","No Data",NA,NA,NA,NA,FALSE,0
"WV100AD","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WV100AD","No Data",NA,NA,NA,NA,TRUE,0
"WV100AE","OK",TRUE,19.5,3,30,TRUE,6
"WV100AF","OK",FALSE,30,30,30,TRUE,3
"WV100AG","OK",TRUE,7.3,7.6,11.4,TRUE,20
"WV100AH","OK",FALSE,27.8,20,30,TRUE,17
"WV100AJ","OK",FALSE,8.8,8.7,11.7,FALSE,20
"WV100AL","OK",FALSE,19.7,11.2,30,TRUE,20
"WV100AP","OK",FALSE,23.8,20,30,TRUE,30
"WV100AR","OK",TRUE,7.6,7.5,11.6,FALSE,13
"WV100AT","OK",TRUE,8.8,9.2,13,FALSE,42
"WV100AU","OK",FALSE,17.3,20,30,TRUE,7
"WV100AW","OK",TRUE,8.4,8.6,12.3,FALSE,9
"WV100BA","OK",TRUE,12.8,13.9,18.3,FALSE,64
"WV100BB","OK",TRUE,18.5,8.4,30,TRUE,35
"WV100BD","No premises",NA,NA,NA,NA,TRUE,0
"WV100BG","Insufficient Data",NA,NA,NA,NA,TRUE,1
"WV100BH","OK",FALSE,24.9,20,30,TRUE,11
"WV100BJ","OK",TRUE,12.4,13,30,TRUE,23
"WV100BL","OK",FALSE,15.8,16.2,30,TRUE,10
"WV100BN","OK",FALSE,24.9,19,30,TRUE,41
"WV100BP","OK",FALSE,11.3,8.8,21.3,TRUE,3
"WV100BQ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WV100BQ","No Data",NA,NA,NA,NA,TRUE,0
"WV100BS","OK",FALSE,30,30,30,TRUE,3
"WV100BT","OK",FALSE,26.1,20,30,TRUE,36
"WV100BU","OK",FALSE,20.5,19,30,TRUE,26
"WV100BW","OK",TRUE,26.1,20,30,TRUE,40
"WV100DG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"WV100DG","No Data",NA,NA,NA,NA,FALSE,0
"WV100DU","No premises",NA,NA,NA,NA,FALSE,0
"WV100DW","OK",FALSE,30,30,30,TRUE,4
"WV100DX","OK",FALSE,22.3,20,30,TRUE,9
"WV100EA","OK",FALSE,23.5,17.5,30,TRUE,11
"WV100ED","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"WV100ED","No Data",NA,NA,NA,NA,FALSE,0
"WV100EE","OK",TRUE,18.6,12.2,30,TRUE,36
"WV100EF","OK",FALSE,20.1,20,30,TRUE,21
"WV100EG","OK",FALSE,17,11.9,30,TRUE,14
"WV100EH","OK",TRUE,12.4,9,30,TRUE,5
"WV100EJ","OK",FALSE,22.8,20,30,TRUE,20
"WV100EN","OK",TRUE,11.4,9.8,30,TRUE,14
"WV100EP","OK",FALSE,29.1,20,30,TRUE,23
"WV100EQ","OK",FALSE,21.3,10.1,30,TRUE,10
"WV100ER","OK",FALSE,19.6,17.1,30,TRUE,16
"WV100ES","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"WV100ES","No Data",NA,NA,NA,NA,FALSE,0
"WV100EU","OK",TRUE,6.2,6.3,9.3,TRUE,21
"WV100EY","No Data",NA,NA,NA,NA,FALSE,0
"WV100HD","OK",FALSE,25.5,20,30,TRUE,47
"WV100HE","OK",TRUE,23.7,20,30,TRUE,17
"WV100HF","OK",TRUE,6.8,6.9,9.6,TRUE,14
"WV100HG","OK",FALSE,7.1,8,10.2,TRUE,13
"WV100HH","OK",FALSE,25,20,30,TRUE,16
"WV100HJ","OK",FALSE,6.5,6.1,10.7,FALSE,8
"WV100HL","OK",TRUE,20.7,25,30,TRUE,22
"WV100HN","OK",TRUE,16.7,20,30,TRUE,16
"WV100HP","OK",FALSE,19.2,9.5,30,TRUE,7
"WV100HQ","OK",FALSE,30,30,30,TRUE,10
"WV100HR","OK",FALSE,16.1,10,30,TRUE,24
"WV100HS","OK",TRUE,14.4,7.7,30,TRUE,15
"WV100HT","OK",TRUE,22.2,20,30,TRUE,12
"WV100HU","OK",TRUE,22,20,30,TRUE,21
"WV100HW","OK",TRUE,17.6,10.4,30,TRUE,22
"WV100HX","OK",FALSE,19.1,20,30,TRUE,16
"WV100HY","OK",FALSE,26.5,25,30,TRUE,33
"WV100HZ","OK",FALSE,23,20,30,TRUE,25
"WV100JB","OK",FALSE,12.7,12.1,30,TRUE,7
"WV100JD","OK",FALSE,24,30,30,TRUE,3
"WV100JE","OK",FALSE,29.5,30,30,TRUE,6
"WV100JG","OK",FALSE,18.2,11.4,30,TRUE,9
"WV100JH","OK",FALSE,21.7,20,30,TRUE,21
"WV100JL","OK",TRUE,20,14.8,30,TRUE,37
"WV100JN","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WV100JN","No Data",NA,NA,NA,NA,TRUE,0
"WV100JP","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WV100JP","No Data",NA,NA,NA,NA,TRUE,0
"WV100JQ","OK",TRUE,16.5,8.4,30,TRUE,7
"WV100JS","OK",FALSE,22.6,30,30,TRUE,3
"WV100JT","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"WV100JT","No Data",NA,NA,NA,NA,FALSE,0
"WV100LE","OK",FALSE,19.7,12.3,30,TRUE,6
"WV100LF","OK",TRUE,28.5,20,30,TRUE,26
"WV100LG","OK",FALSE,20.1,10.5,30,TRUE,16
"WV100LH","No premises",NA,NA,NA,NA,TRUE,0
"WV100LJ","OK",FALSE,23.7,12.8,30,TRUE,21
"WV100LL","OK",FALSE,12.4,12.4,17,TRUE,3
"WV100LN","OK",FALSE,11.6,10.1,15.2,TRUE,6
"WV100LQ","OK",FALSE,22.1,20,30,TRUE,41
"WV100LR","OK",FALSE,24.3,22.4,30,TRUE,7
"WV100LS","No premises",NA,NA,NA,NA,TRUE,0
"WV100LT","OK",FALSE,21.7,12,30,TRUE,16
"WV100LU","OK",FALSE,18.8,17.1,30,TRUE,13
"WV100LY","OK",FALSE,30,30,30,TRUE,5
"WV100LZ","OK",FALSE,27.1,20.8,30,TRUE,36
"WV100NA","OK",FALSE,19.1,20,30,TRUE,13
"WV100NB","Insufficient Data",NA,NA,NA,NA,TRUE,1
"WV100ND","OK",FALSE,28.8,20.6,30,TRUE,25
"WV100NE","OK",FALSE,24.5,21,30,TRUE,28
"WV100NF","OK",FALSE,30,22.1,30,TRUE,27
"WV100NG","OK",FALSE,27.7,21,30,TRUE,30
"WV100NH","OK",FALSE,30,23.3,30,TRUE,33
"WV100NJ","OK",FALSE,18,20,30,TRUE,15
"WV100NL","OK",TRUE,21.9,20.8,30,TRUE,6
"WV100NN","Insufficient Data",NA,NA,NA,NA,TRUE,2
"WV100NP","OK",FALSE,30,21.1,30,TRUE,12
"WV100NR","OK",FALSE,30,25.9,30,TRUE,10
"WV100NS","OK",FALSE,28.7,20.4,30,TRUE,51
"WV100NT","OK",FALSE,21.4,21,30,TRUE,8
